Default Dataset,
X,Y
2.061427761692606,0.0318211777432366
1.8137289072640748,0.012151357032474795
1.8137289072640748,0.007111853787440967
1.8137289072640748,0.004162371672461463
1.8137289072640748,0.0024361212220511265
1.82413662367631,0.001366530649889233
2.336471191969178,0.061434913356121744
2.6024723076096397,0.10545304760142649
2.9985565597807806,0.18298444411745962
3.416897583188643,0.38025973307506067
3.9241274457958752,0.737823102781423
4.7576258352963805,1.4413440326419025
6.139621893178212,2.337018255743739
7.78329767799625,2.491793821099721
9.435150954281044,1.6548623083767964
11.08700423056584,1.5616930032148244
12.738857506850634,1.5634226888876863
14.390710783135427,1.5632558926194606
16.042564059420222,1.3779292944118555
17.694417335705012,1.0744913098905309
19.34627061198981,0.6818939344820993
20.998123888274606,0.4516008120352378
22.649977164559395,0.2839755898084793
24.301830440844192,0.17508533999436354
25.953683717128982,0.13383682885909337
27.60553699341378,0.1227173663439381
29.257390269698575,0.12216556224849337
30.909243545983365,0.11522298856098834
32.56109682226816,0.09963389047951046
34.21295009855295,0.09814433331746225
35.86480337483775,0.09520924799323101
37.516656651122545,0.08480761087660293
39.168509927407335,0.06743204983612987
40.82036320369213,0.05241459082160618
42.47221647997692,0.04373865450405896
44.12406975626172,0.040144947909018534
45.775923032546515,0.03585836958835701
47.427776308831305,0.02399110756922909
49.0796295851161,0.02417522860448469
50.73148286140089,0.03240277201425078
52.38333613768569,0.030398194932744368
53.37429942179353,0.021006428623576188
53.582483486370855,0.011982563337947175
53.74780899956733,0.007026844600403747
53.966191829719726,0.0036315556311741666
54.270973751261955,0.0018320330964585198
54.44042954665641,0.0012114403089322908
