x, y
0.9972826086956521, 0.01965974958149483
0.9877717391304347, 0.025872836061751867
0.9660326086956521, 0.02999606045250635
0.9402173913043478, 0.038650575360708615
0.9225543478260869, 0.02999606045250635
0.8994565217391304, 0.022792825476115407
0.8614130434782609, 0.02231638541128343
0.8057065217391304, 0.02184990440728028
0.7663043478260869, 0.020508155677140625
0.7323369565217391, 0.018452492856515974
0.702445652173913, 0.01660288218892862
0.6644021739130435, 0.014626405672325487
0.6467391304347826, 0.012352165993694868
0.6168478260869565, 0.011114029869356515
0.5679347826086957, 0.009586307950357793
0.53125, 0.008095746126715335
0.49864130434782605, 0.0071319946574370805
0.46875, 0.00728425802510829
0.4225543478260869, 0.005773881812370071
0.40353260869565216, 0.004031852049908962
0.3763586956521739, 0.002533201431485765
0.360054347826087, 0.002279282547611541
0.35190217391304346, 0.0016957342739806688
0.33016304347826086, 0.0014626405672325488
0.32065217391304346, 0.0011593649950439682
0.30434782608695654, 0.0011351307054434311
0.2921195652173913, 0.0009790969283149551
0.2703804347826087, 0.0008268584950673139
0.24864130434782608, 0.000713199465743708
0.2296195652173913, 0.000728425802510829
0.23777173913043478, 0.0005535020912234948
0.2092391304347826, 0.0006417109492481523
0.1875, 0.0007439772114947442
0.16847826086956522, 0.0007439772114947442
0.1467391304347826, 0.0006554110534822635
0.12364130434782608, 0.0006694036458782878
0.09782608695652173, 0.0006836949708649839
0.08695652173913043, 0.0005419321973328272
0.0638586956521739, 0.00046743881318607125
0.051630434782608696, 0.00037842659613275493
0.04755434782608695, 0.0002999606045250632
0.04755434782608695, 0.00022792825476115384
0.04076086956521739, 0.00012885217184405016
0.03804347826086957, 0.00006554110534822636
0.03940217391304348, 0.00004295636490267305
0.03940217391304348, 0.000028154076374629418
0.03804347826086957, 0.00001768912789743393
0.03804347826086957, 0.000012615876565922
0.04076086956521739, 0.000009790969283149552
