Excl_hierarchical,,incl_hierarchical_mergers,,q_ex_hierarchical,,q_incl_hierachical
M1,logdR_dm,M1,logdR_dm,q,logdR_dq,q,logdR_dq
1.8730385004752002,-2.694696814159026,2.0402024879187657,-2.797516368403003,0.2254582103730518,-1.301590259465688,0.12487560481465287,-2.4856551122919646
6.246706106375733,-2.136533519691719,6.407475842933486,-2.342172628179674,0.27534669461605743,-0.655818810365163,0.17699173159630144,-0.7136221288860485
10.27645436106041,-1.5269604481024235,10.180083865566992,-1.6811897794683897,0.3265862085708726,-0.79129533814849,0.22599737706910106,-1.2446901177966896
14.616780515913462,-1.5049276864787138,14.619977641356371,-1.4535179093567248,0.3806834305336173,-0.29003218535018016,0.2763602781970831,-1.0550229789000323
18.709557815044086,-1.2772558163670493,18.612273855138397,-1.4461736554821556,0.4278989097554078,0.12091328225924514,0.3272187644175075,0.21303732115190765
22.810099561678904,-0.9247316303876976,22.968128904999872,-1.1744362621230713,0.47944764556438546,0.6583035091331084,0.378570345353026,0.32141854337856923
27.074151438108252,-0.7337810296488816,26.986002122325168,-0.7558137912725913,0.5289750250917922,0.5183110970903373,0.4269484157338883,0.6574003322812201
31.141351733695586,-0.9173873765131275,31.06644765189028,-0.7264367757743124,0.5793678107479616,0.40089810634478695,0.47924384968466205,0.58695253783389
35.401749752475894,-0.7851908067708706,35.4095141999801,-0.6603384909031833,0.627415491067195,0.7621688471003258,0.5295768662844567,0.7115909433945506
39.45981540394064,-1.115682231126513,39.48310874645327,-0.7411252835234516,0.676276694653756,1.0331219026669798,0.5779375040238763,1.00963930451787
43.43292886506518,-1.4167966399838758,43.52290510967278,-1.3653868628618873,0.7275348864386881,0.9382883332186507,0.6280862326998475,0.7332671878398831
47.68693263295968,-2.782827860653864,47.2667390033201,-2.5625002444167686,0.7761844079505864,0.7486211943219929,0.6784018166581998,0.8199721656212122
51.506584072824566,-6.947019807534955,51.61848346332641,-2.3568611359288143,0.827442599735519,0.6537876248736643,0.7287846408049732,1.0529917934085344
,,55.71400115569379,-2.0851237425697304,0.8771090253315759,0.8163594582136564,0.7759374455301482,0.9554486934045392
,,60.05706770378363,-2.0190254576986018,0.9283257108273588,0.6312082035764432,0.8261185491116563,0.7495243711738824
,,63.82967572641715,-2.7534508451555846,0.9788845216401256,0.8750659535864316,0.8784040215530333,0.6574003322812201
,,68.14899219978821,-1.67384552559382,,,0.9277508487226407,0.8687437156232098
,,72.3404236554429,-2.6506312909116065,,,0.9810349624809511,0.7170100045058838
,,76.29572456052838,-4.633579837045461,,,,
,,80.66710850539826,-2.716729575782735,,,,
,,84.57536599325239,-5.456136270997281,,,,
,,88.82845629673461,-5.441447763248141,,,,
,,92.88652194819936,-5.771939187603784,,,,
,,96.88658260948559,-5.639742617861527,,,,
,,100.15221788331482,-4.758432152913148,,,,
